"","animal_number","genotype","sex","name","acronym","structure_id_path","parent_structure_id","cell_numbers","cell_density"
"1:1","AN22","WT","female","Dorsal part of the lateral geniculate complex, sub-structures","LGd-co","/997/8/343/1129/549/864/1008/170/496345668/",170,52,855.22095949213
"1:2","AN22","WT","female","commissural branch of stria terminalis","stc","/997/1009/991/768/301/484682528/",301,654,1195.26936509996
"1:3","AN22","WT","female","Anterior area","VISa","/997/8/567/688/695/315/22/312782546/",22,400,1009.66246983633
"1:4","AN22","WT","female","Primary somatosensory area, unassigned","SSp-un","/997/8/567/688/695/315/453/322/182305689/",322,8,576.410404207796
"1:5","AN22","WT","female","Posterior intralaminar thalamic nucleus","PIL","/997/8/343/1129/549/856/51/560581563/",51,46,2512.01397990389
"1:6","AN22","WT","female","internal capsule","int","/997/1009/983/784/6/",784,358,1030.23361554444
"1:7","AN22","WT","female","Primary somatosensory area, trunk, layer 6a","SSp-tr6a","/997/8/567/688/695/315/453/322/361/9/",361,104,1177.33627667403
"1:8","AN22","WT","female","Entorhinal area, lateral part, layer 2","ENTl2","/997/8/567/688/695/1089/822/909/918/20/",918,8,1547.089537807
"1:10","AN22","WT","female","Entorhinal area, lateral part, layer 3","ENTl3","/997/8/567/688/695/1089/822/909/918/52/",918,22,3478.81087919039
"1:11","AN22","WT","female","Intermediodorsal nucleus of the thalamus","IMD","/997/8/343/1129/549/856/444/59/",444,64,2421.03272177038
"1:12","AN22","WT","female","lateral ventricle","VL","/997/73/81/",73,25,521.87708750835
"1:13","AN22","WT","female","Temporal association areas, layer 1","TEa1","/997/8/567/688/695/315/541/97/",541,45,1646.72302118784
"1:14","AN22","WT","female","nigrostriatal tract","nst","/997/1009/1000/760/102/",760,24,1198.92097112599
"1:15","AN22","WT","female","choroid plexus","chpl","/997/73/81/108/",81,19,849.769667695335
"1:16","AN22","WT","female","Periventricular hypothalamic nucleus, intermediate part","PVi","/997/8/343/1129/1097/157/118/",157,11,775.467042650687
"1:17","AN22","WT","female","Agranular insular area, posterior part, layer 1","AIp1","/997/8/567/688/695/315/95/111/120/",111,25,812.902386681407
"1:18","AN22","WT","female","optic tract","opt","/997/1009/967/848/125/",848,146,1358.86004672245
"1:19","AN22","WT","female","third ventricle","V3","/997/73/129/",73,11,1273.88535031847
"1:20","AN22","WT","female","Lateral amygdala nucleus","LA","/997/8/567/688/703/131/",703,228,1547.28377048624
"1:21","AN22","WT","female","Entorhinal area, lateral part, layer 5","ENTl5","/997/8/567/688/695/1089/822/909/918/139/",918,12,1766.26435089785
"1:22","AN22","WT","female","Paraventricular nucleus of the thalamus","PVT","/997/8/343/1129/549/856/571/149/",571,61,2209.90472050139
"1:23","AN22","WT","female","Lateral dorsal nucleus of thalamus","LD","/997/8/343/1129/549/856/239/155/",239,92,466.960039387064
"1:24","AN22","WT","female","Agranular insular area, posterior part, layer 2/3","AIp2/3","/997/8/567/688/695/315/95/111/163/",111,109,1680.59452958771
"1:25","AN22","WT","female","Ventral part of the lateral geniculate complex","LGv","/997/8/343/1129/549/856/1014/178/",1014,8,581.818181818182
"1:26","AN22","WT","female","Nucleus of reuniens","RE","/997/8/343/1129/549/856/571/181/",571,44,1593.27925840093
"1:27","AN22","WT","female","Lateral habenula","LH","/997/8/343/1129/549/856/958/186/",958,128,1307.6168682576
"1:28","AN22","WT","female","Rhomboid nucleus","RH","/997/8/343/1129/549/856/51/189/",51,6,375.727972947586
"1:29","AN22","WT","female","Lateral hypothalamic cortex","LHA","/997/8/343/1129/1097/290/194/",290,356,1266.58839435016
"1:30","AN22","WT","female","Primary somatosensory area, barrel field, layer 2/3","SSp-bfd2/3","/997/8/567/688/695/315/453/322/329/201/",329,239,1039.32022369302
"1:31","AN22","WT","female","Lateral posterior nucleus of the thalamus","LP","/997/8/343/1129/549/856/138/218/",138,61,345.777545999751
"1:32","AN22","WT","female","Arcuate hypothalamic nucleus","ARH","/997/8/343/1129/1097/157/223/",157,96,2032.77855418625
"1:33","AN22","WT","female","Temporal association areas, layer 4","TEa4","/997/8/567/688/695/315/541/234/",541,12,761.614623000762
"1:34","AN22","WT","female","Dorsal auditory area, layer 5","AUDd5","/997/8/567/688/695/315/247/1011/252/",1011,17,722.696934914764
"1:35","AN22","WT","female","Reticular nucleus of the thalamus","RT","/997/8/343/1129/549/856/262/",856,219,1189.26727017003
"1:36","AN22","WT","female","Retrosplenial area, dorsal part, layer 6a","RSPd6a","/997/8/567/688/695/315/254/879/274/",879,127,1816.51743570673
"1:37","AN22","WT","female","Retrosplenial area, lateral agranular part, layer 6b","RSPagl6b","/997/8/567/688/695/315/254/894/279/",894,13,2544.0313111546
"1:39","AN22","WT","female","Temporal association areas, layer 5","TEa5","/997/8/567/688/695/315/541/289/",541,32,748.048062087989
"1:40","AN22","WT","female","stria terminalis","st","/997/1009/991/768/301/",768,33,894.163550642172
"1:41","AN22","WT","female","Basolateral amygdala nucleus, anterior part","BLAa","/997/8/567/688/703/295/303/",295,347,1792.87397181003
"1:42","AN22","WT","female","Basolateral amygdala nucleus, posterior part","BLAp","/997/8/567/688/703/295/311/",295,145,2447.17477891042
"1:43","AN22","WT","female","Agranular insular area, posterior part, layer 6a","AIp6a","/997/8/567/688/695/315/95/111/314/",111,44,893.237783958262
"1:44","AN22","WT","female","Basomedial amygdala nucleus, anterior part","BMAa","/997/8/567/688/703/319/327/",319,278,1720.82946456206
"1:45","AN22","WT","female","Retrosplenial area, dorsal part, layer 6b","RSPd6b","/997/8/567/688/695/315/254/879/330/",879,19,4382.92964244521
"1:46","AN22","WT","female","Basomedial amygdala nucleus, posterior part","BMAp","/997/8/567/688/703/319/334/",319,82,1743.60500967488
"1:47","AN22","WT","female","Substantia innominata","SI","/997/8/567/623/803/835/342/",835,35,1798.00678105415
"1:48","AN22","WT","female","Agranular insular area, posterior part, layer 5","AIp5","/997/8/567/688/695/315/95/111/344/",111,137,1708.5915967225
"1:49","AN22","WT","female","supraoptic commissures","sup","/997/1009/991/824/349/",824,11,1251.56445556946
"1:50","AN22","WT","female","Agranular insular area, posterior part, layer 6b","AIp6b","/997/8/567/688/695/315/95/111/355/",111,11,1737.75671406003
"1:51","AN22","WT","female","Preparasubthalamic nucleus","PST","/997/8/343/1129/1097/290/356/",290,8,1173.53674636937
"1:52","AN22","WT","female","Mediodorsal nucleus of thalamus","MD","/997/8/343/1129/549/856/444/362/",444,473,1439.80372400819
"1:54","AN22","WT","female","Submedial nucleus of the thalamus","SMT","/997/8/343/1129/549/856/444/366/",444,75,863.995576342649
"1:55","AN22","WT","female","CA1","CA1","/997/8/567/688/695/1089/1080/375/382/",375,640,974.422920863156
"1:56","AN22","WT","female","Medial amygdala nucleus","MEA","/997/8/567/623/477/278/403/",278,709,1503.50747724593
"1:57","AN22","WT","female","CA2","CA2","/997/8/567/688/695/1089/1080/375/423/",375,29,694.228329303617
"1:58","AN22","WT","female","Ectorhinal area/Layer 2/3","ECT2/3","/997/8/567/688/695/315/895/427/",895,57,2034.26124197002
"1:59","AN22","WT","female","Retrosplenial area, ventral part, layer 2/3","RSPv2/3","/997/8/567/688/695/315/254/886/430/",886,142,1807.44361285067
"1:61","AN22","WT","female","columns of the fornix","fx","/997/1009/991/768/1099/737/436/",737,11,791.651673263764
"1:63","AN22","WT","female","dorsal hippocampal commissure","dhc","/997/1009/991/768/1099/618/443/",618,50,1382.09359537828
"1:64","AN22","WT","female","Basolateral amygdala nucleus, ventral part","BLAv","/997/8/567/688/703/295/451/",295,118,1027.31974020999
"1:65","AN22","WT","female","Primary somatosensory area, trunk, layer 6b","SSp-tr6b","/997/8/567/688/695/315/453/322/361/461/",361,33,2072.3436322532
