"","animal_number","genotype","sex","name","acronym","structure_id_path","parent_structure_id","cell_numbers","cell_density"
"1:2","AN22","WT","female","Prelimbic area, layer 6a","PL6a","/997/8/567/688/695/315/9999/972/84/",972,133,1727.25029545071
"1:3","AN22","WT","female","Anterior olfactory nucleus","AON","/997/8/567/688/695/698/159/",698,568,1034.51792921566
"1:4","AN22","WT","female","Prelimbic area, layer 1","PL1","/997/8/567/688/695/315/9999/972/171/",972,27,565.433184645348
"1:5","AN22","WT","female","Anterior cingulate area, dorsal part, layer 2/3","ACAd2/3","/997/8/567/688/695/315/9999/31/39/211/",39,23,684.360866460367
"1:6","AN22","WT","female","Orbital area, ventrolateral part, layer 2/3","ORBvl2/3","/997/8/567/688/695/315/714/746/288/",746,27,912.408759124088
"1:7","AN22","WT","female","Prelimbic area, layer 2/3","PL2/3","/997/8/567/688/695/315/9999/972/304/",972,30,599.616245602814
"1:8","AN22","WT","female","Primary motor area, Layer 1","MOp1","/997/8/567/688/695/315/500/985/320/",985,81,500.55617352614
"1:9","AN22","WT","female","Agranular insular area, dorsal part, layer 2/3","AId2/3","/997/8/567/688/695/315/95/104/328/",104,88,910.671413196457
"1:10","AN22","WT","female","Prelimbic area, layer 5","PL5","/997/8/567/688/695/315/9999/972/363/",972,254,1652.95710120783
"1:11","AN22","WT","female","Orbital area, lateral part, layer 2/3","ORBl2/3","/997/8/567/688/695/315/714/723/412/",723,58,673.127139789938
"1:12","AN22","WT","female","Orbital area, lateral part, layer 6a","ORBl6a","/997/8/567/688/695/315/714/723/440/",723,65,719.1697461884
"1:14","AN22","WT","female","Orbital area, medial part, layer 1","ORBm1","/997/8/567/688/695/315/714/731/484/",731,13,608.528764686608
"1:16","AN22","WT","female","Infralimbic area, layer 2/3","ILA2/3","/997/8/567/688/695/315/9999/44/556/",44,12,292.14850882532
"1:17","AN22","WT","female","Orbital area, medial part, layer 2/3","ORBm2/3","/997/8/567/688/695/315/714/731/582/",731,47,1774.92447129909
"1:18","AN22","WT","female","Taenia tecta, dorsal part","TTd","/997/8/567/688/695/698/589/597/",589,67,580.750294709105
"1:19","AN22","WT","female","Taenia tecta, ventral part","TTv","/997/8/567/688/695/698/589/605/",589,67,369.221273758287
"1:20","AN22","WT","female","Orbital area, ventrolateral part, layer 6a","ORBvl6a","/997/8/567/688/695/315/714/746/608/",746,67,1180.45033299271
"1:21","AN22","WT","female","Orbital area, medial part, layer 5","ORBm5","/997/8/567/688/695/315/714/731/620/",731,62,1197.97503574603
"1:22","AN22","WT","female","Orbital area, lateral part, layer 5","ORBl5","/997/8/567/688/695/315/714/723/630/",723,140,680.612745932124
"1:23","AN22","WT","female","Primary motor area, Layer 5","MOp5","/997/8/567/688/695/315/500/985/648/",985,295,1072.80919633863
"1:24","AN22","WT","female","Secondary motor area, layer 1","MOs1","/997/8/567/688/695/315/500/993/656/",993,148,862.722238414456
"1:25","AN22","WT","female","lateral olfactory tract, body","lot","/997/1009/967/840/21/665/",21,32,505.689001264222
"1:28","AN22","WT","female","Agranular insular area, ventral part, layer 2/3","AIv2/3","/997/8/567/688/695/315/95/119/694/",119,56,865.212286014461
"1:29","AN22","WT","female","Olfactory areas","OLF","/997/8/567/688/695/698/",695,182,732.30595903915
"1:30","AN22","WT","female","Agranular insular area, ventral part, layer 1","AIv1","/997/8/567/688/695/315/95/119/704/",119,33,857.588357588358
"1:31","AN22","WT","female","Infralimbic area, layer 1","ILA1","/997/8/567/688/695/315/9999/44/707/",44,26,466.702566864118
"1:32","AN22","WT","female","Olfactory tubercle","OT","/997/8/567/623/477/493/754/",493,3,72.9022380987096
"1:33","AN22","WT","female","Secondary motor area, layer 5","MOs5","/997/8/567/688/695/315/500/993/767/",993,505,1013.4172429432
"1:34","AN22","WT","female","Agranular insular area, dorsal part, layer 6a","AId6a","/997/8/567/688/695/315/95/104/783/",104,40,498.653635185001
"1:35","AN22","WT","female","Agranular insular area, ventral part, layer 5","AIv5","/997/8/567/688/695/315/95/119/800/",119,69,994.350933825225
"1:36","AN22","WT","female","Dorsal peduncular cortex","DP","/997/8/567/688/695/698/814/",698,42,613.049189899285
"1:37","AN22","WT","female","Infralimbic area, layer 5","ILA5","/997/8/567/688/695/315/9999/44/827/",44,46,529.374532481731
"1:38","AN22","WT","female","Primary motor area, Layer 6a","MOp6a","/997/8/567/688/695/315/500/985/844/",985,8,313.185092389602
"1:39","AN22","WT","female","anterior commissure, olfactory limb","aco","/997/1009/967/840/900/",840,19,782.118305684765
"1:40","AN22","WT","female","Orbital area, medial part, layer 6a","ORBm6a","/997/8/567/688/695/315/714/731/910/",731,80,1406.84076321111
"1:41","AN22","WT","female","Anterior cingulate area, dorsal part, layer 6a","ACAd6a","/997/8/567/688/695/315/9999/31/39/919/",39,48,2746.78111587983
"1:42","AN22","WT","female","Anterior cingulate area, dorsal part, layer 1","ACAd1","/997/8/567/688/695/315/9999/31/39/935/",39,11,370.071322836765
"1:43","AN22","WT","female","Primary motor area, Layer 2/3","MOp2/3","/997/8/567/688/695/315/500/985/943/",985,310,923.680180207023
"1:44","AN22","WT","female","Endopiriform nucleus, dorsal part","EPd","/997/8/567/688/703/942/952/",942,42,1479.60262101036
"1:45","AN22","WT","female","corpus callosum, anterior forceps","fa","/997/1009/983/776/956/",776,6,278.267322140803
"1:46","AN22","WT","female","Piriform cortex","PIR","/997/8/567/688/695/698/961/",698,397,992.542183042779
"1:47","AN22","WT","female","Secondary motor area, layer 2/3","MOs2/3","/997/8/567/688/695/315/500/993/962/",993,152,565.606650343457
"1:48","AN22","WT","female","Agranular insular area, dorsal part, layer 1","AId1","/997/8/567/688/695/315/95/104/996/",104,25,568.039808229761
"1:49","AN22","WT","female","Anterior cingulate area, dorsal part, layer 5","ACAd5","/997/8/567/688/695/315/9999/31/39/1015/",39,153,1940.19630221411
"1:50","AN22","WT","female","Secondary motor area, layer 6a","MOs6a","/997/8/567/688/695/315/500/993/1021/",993,243,965.21262482225
"1:51","AN22","WT","female","Infralimbic area, layer 6a","ILA6a","/997/8/567/688/695/315/9999/44/1054/",44,33,959.27443969652
"1:53","AN22","WT","female","Agranular insular area, dorsal part, layer 5","AId5","/997/8/567/688/695/315/95/104/1101/",104,187,1043.56172639709
"1:54","AN22","WT","female","Orbital area, ventrolateral part, layer 5","ORBvl5","/997/8/567/688/695/315/714/746/1125/",746,79,1250.33632464429
"2:1","AN23","WT","male","Gustatory areas, layer 1","GU1","/997/8/567/688/695/315/1057/36/",1057,5,1305.48302872063
"2:3","AN23","WT","male","Prelimbic area, layer 6a","PL6a","/997/8/567/688/695/315/9999/972/84/",972,246,3488.02586243566
"2:4","AN23","WT","male","Anterior olfactory nucleus","AON","/997/8/567/688/695/698/159/",698,335,899.085080286956
"2:5","AN23","WT","male","Prelimbic area, layer 1","PL1","/997/8/567/688/695/315/9999/972/171/",972,33,643.877312104893
"2:7","AN23","WT","male","Anterior cingulate area, dorsal part, layer 2/3","ACAd2/3","/997/8/567/688/695/315/9999/31/39/211/",39,28,801.580258223355
"2:8","AN23","WT","male","Orbital area, ventrolateral part, layer 2/3","ORBvl2/3","/997/8/567/688/695/315/714/746/288/",746,13,745.455588049773
"2:9","AN23","WT","male","Prelimbic area, layer 2/3","PL2/3","/997/8/567/688/695/315/9999/972/304/",972,40,1010.50929668553
"2:10","AN23","WT","male","Primary motor area, Layer 1","MOp1","/997/8/567/688/695/315/500/985/320/",985,66,418.115818081609
"2:11","AN23","WT","male","Agranular insular area, dorsal part, layer 2/3","AId2/3","/997/8/567/688/695/315/95/104/328/",104,209,2532.50451367431
"2:12","AN23","WT","male","Prelimbic area, layer 5","PL5","/997/8/567/688/695/315/9999/972/363/",972,144,1329.07536964909
"2:13","AN23","WT","male","Orbital area, lateral part, layer 2/3","ORBl2/3","/997/8/567/688/695/315/714/723/412/",723,55,868.028155676904
"2:14","AN23","WT","male","Orbital area, lateral part, layer 6a","ORBl6a","/997/8/567/688/695/315/714/723/440/",723,64,753.765885027147
"2:17","AN23","WT","male","Orbital area, medial part, layer 1","ORBm1","/997/8/567/688/695/315/714/731/484/",731,15,1100.67508071617
"2:18","AN23","WT","male","Infralimbic area, layer 2/3","ILA2/3","/997/8/567/688/695/315/9999/44/556/",44,20,613.346418056919
"2:19","AN23","WT","male","Orbital area, medial part, layer 2/3","ORBm2/3","/997/8/567/688/695/315/714/731/582/",731,18,1094.15840982311
"2:21","AN23","WT","male","Taenia tecta, dorsal part","TTd","/997/8/567/688/695/698/589/597/",589,70,693.556856800325
"2:22","AN23","WT","male","Taenia tecta, ventral part","TTv","/997/8/567/688/695/698/589/605/",589,214,1811.24154683414
"2:23","AN23","WT","male","Orbital area, ventrolateral part, layer 6a","ORBvl6a","/997/8/567/688/695/315/714/746/608/",746,76,1523.22924600152
"2:24","AN23","WT","male","Orbital area, medial part, layer 5","ORBm5","/997/8/567/688/695/315/714/731/620/",731,28,798.881565807869
"2:25","AN23","WT","male","Orbital area, lateral part, layer 5","ORBl5","/997/8/567/688/695/315/714/723/630/",723,179,802.924619283648
"2:26","AN23","WT","male","Primary motor area, Layer 5","MOp5","/997/8/567/688/695/315/500/985/648/",985,252,1115.96763693853
"2:27","AN23","WT","male","Secondary motor area, layer 1","MOs1","/997/8/567/688/695/315/500/993/656/",993,52,366.210077819642
"2:29","AN23","WT","male","lateral olfactory tract, body","lot","/997/1009/967/840/21/665/",21,73,1494.70709883495
"2:30","AN23","WT","male","Agranular insular area, ventral part, layer 2/3","AIv2/3","/997/8/567/688/695/315/95/119/694/",119,94,1185.44674947979
"2:31","AN23","WT","male","Olfactory areas","OLF","/997/8/567/688/695/698/",695,180,967.507861001371
"2:32","AN23","WT","male","Agranular insular area, ventral part, layer 1","AIv1","/997/8/567/688/695/315/95/119/704/",119,65,1921.65558019217
"2:33","AN23","WT","male","Infralimbic area, layer 1","ILA1","/997/8/567/688/695/315/9999/44/707/",44,49,1183.77503442611
"2:34","AN23","WT","male","Olfactory tubercle","OT","/997/8/567/623/477/493/754/",493,92,1403.95855270186
"2:35","AN23","WT","male","Secondary motor area, layer 5","MOs5","/997/8/567/688/695/315/500/993/767/",993,278,737.795848173292
"2:36","AN23","WT","male","Agranular insular area, dorsal part, layer 6a","AId6a","/997/8/567/688/695/315/95/104/783/",104,23,274.0640118205
"2:37","AN23","WT","male","Agranular insular area, ventral part, layer 5","AIv5","/997/8/567/688/695/315/95/119/800/",119,55,666.876833911293
"2:38","AN23","WT","male","Dorsal peduncular cortex","DP","/997/8/567/688/695/698/814/",698,13,160.499771596479
"2:39","AN23","WT","male","Infralimbic area, layer 5","ILA5","/997/8/567/688/695/315/9999/44/827/",44,72,1002.52022445314
"2:40","AN23","WT","male","Primary motor area, Layer 6a","MOp6a","/997/8/567/688/695/315/500/985/844/",985,6,133.794179953172
"2:42","AN23","WT","male","anterior commissure, olfactory limb","aco","/997/1009/967/840/900/",840,4,318.648928542978
"2:43","AN23","WT","male","Orbital area, medial part, layer 6a","ORBm6a","/997/8/567/688/695/315/714/731/910/",731,87,1801.54062784726
"2:44","AN23","WT","male","Anterior cingulate area, dorsal part, layer 6a","ACAd6a","/997/8/567/688/695/315/9999/31/39/919/",39,9,469.092046283749
"2:45","AN23","WT","male","Anterior cingulate area, dorsal part, layer 1","ACAd1","/997/8/567/688/695/315/9999/31/39/935/",39,23,661.052510562469
