"","animal_number","genotype","sex","name","acronym","structure_id_path","parent_structure_id","cell_numbers","cell_density"
"1:2","AN3","WT","male","internal capsule","int","/997/1009/983/784/6/",784,191,432.262634629442
"1:4","AN3","WT","male","Primary somatosensory area, trunk, layer 6a","SSp-tr6a","/997/8/567/688/695/315/453/322/361/9/",361,29,324.980949392622
"1:7","AN3","WT","male","Intermediodorsal nucleus of the thalamus","IMD","/997/8/343/1129/549/856/444/59/",444,53,1189.78134961613
"1:8","AN3","WT","male","ventricular systems","VS","/997/73/",997,125,3562.77611514892
"1:9","AN3","WT","male","lateral ventricle","VL","/997/73/81/",73,381,2095.23704775051
"1:10","AN3","WT","male","Temporal association areas, layer 1","TEa1","/997/8/567/688/695/315/541/97/",541,227,5763.61558969151
"1:12","AN3","WT","male","Periventricular hypothalamic nucleus, intermediate part","PVi","/997/8/343/1129/1097/157/118/",157,38,1824.29188670187
"1:13","AN3","WT","male","Agranular insular area, posterior part, layer 1","AIp1","/997/8/567/688/695/315/95/111/120/",111,184,5694.30260266766
"1:14","AN3","WT","male","optic tract","opt","/997/1009/967/848/125/",848,140,1426.09758582052
"1:15","AN3","WT","male","Periventricular hypothalamic nucleus, posterior part","PVp","/997/8/343/1129/1097/141/126/",141,76,1891.72370877411
"1:16","AN3","WT","male","third ventricle","V3","/997/73/129/",73,133,1805.961029262
"1:17","AN3","WT","male","Lateral amygdala nucleus","LA","/997/8/567/688/703/131/",703,80,415.433348912084
"1:18","AN3","WT","male","Paraventricular nucleus of the thalamus","PVT","/997/8/343/1129/549/856/571/149/",571,226,4299.68418248925
"1:19","AN3","WT","male","Lateral dorsal nucleus of thalamus","LD","/997/8/343/1129/549/856/239/155/",239,21,79.4741084708046
"1:20","AN3","WT","male","Dorsal auditory area, layer 6a","AUDd6a","/997/8/567/688/695/315/247/1011/156/",1011,23,474.275698525621
"1:21","AN3","WT","male","Agranular insular area, posterior part, layer 2/3","AIp2/3","/997/8/567/688/695/315/95/111/163/",111,158,2248.40619307832
"1:22","AN3","WT","male","Dorsal part of the lateral geniculate complex","LGd","/997/8/343/1129/549/864/1008/170/",1008,45,311.149524632671
"1:23","AN3","WT","male","Ventral part of the lateral geniculate complex","LGv","/997/8/343/1129/549/856/1014/178/",1014,65,1012.918608094
"1:24","AN3","WT","male","Nucleus of reuniens","RE","/997/8/343/1129/549/856/571/181/",571,21,564.470607209096
"1:25","AN3","WT","male","Lateral habenula","LH","/997/8/343/1129/549/856/958/186/",958,173,1955.31041965709
"1:27","AN3","WT","male","Lateral hypothalamic cortex","LHA","/997/8/343/1129/1097/290/194/",290,1917,2839.97896311879
