"","animal_number","genotype","sex","name","acronym","structure_id_path","parent_structure_id","cell_numbers","cell_density"
"1:2","AN1","Dp2Yey","male","Gustatory areas, layer 1","GU1","/997/8/567/688/695/315/1057/36/",1057,89,5932.93780414639
"1:3","AN1","Dp2Yey","male","Nucleus accumbens","ACB","/997/8/567/623/477/493/56/",493,1990,6711.90739591484
"1:4","AN1","Dp2Yey","male","Prelimbic area, layer 6a","PL6a","/997/8/567/688/695/315/9999/972/84/",972,164,2417.95181788695
"1:7","AN1","Dp2Yey","male","Anterior olfactory nucleus","AON","/997/8/567/688/695/698/159/",698,643,4716.01243912457
"1:8","AN1","Dp2Yey","male","Prelimbic area, layer 1","PL1","/997/8/567/688/695/315/9999/972/171/",972,183,5193.40465987456
"1:9","AN1","Dp2Yey","male","Gustatory areas, layer 2/3","GU2/3","/997/8/567/688/695/315/1057/180/",1057,83,5314.04059158717
"1:11","AN1","Dp2Yey","male","Anterior cingulate area, dorsal part, layer 2/3","ACAd2/3","/997/8/567/688/695/315/9999/31/39/211/",39,193,8178.65920840749
"1:12","AN1","Dp2Yey","male","Lateral septal nucleus, rostral (rostroventral) part","LSr","/997/8/567/623/477/275/242/258/",242,148,6091.03629928389
"1:14","AN1","Dp2Yey","male","Prelimbic area, layer 2/3","PL2/3","/997/8/567/688/695/315/9999/972/304/",972,173,5879.95377608592
"1:15","AN1","Dp2Yey","male","Primary motor area, Layer 1","MOp1","/997/8/567/688/695/315/500/985/320/",985,585,5687.72908908831
"1:16","AN1","Dp2Yey","male","Agranular insular area, dorsal part, layer 2/3","AId2/3","/997/8/567/688/695/315/95/104/328/",104,338,7017.83526773664
"1:17","AN1","Dp2Yey","male","Substantia innominata","SI","/997/8/567/623/803/835/342/",835,269,8002.14183722037
"1:18","AN1","Dp2Yey","male","Prelimbic area, layer 5","PL5","/997/8/567/688/695/315/9999/972/363/",972,440,5331.39464437174
"1:19","AN1","Dp2Yey","male","Orbital area, lateral part, layer 2/3","ORBl2/3","/997/8/567/688/695/315/714/723/412/",723,5,1925.29842125529
"1:20","AN1","Dp2Yey","male","Orbital area, lateral part, layer 6a","ORBl6a","/997/8/567/688/695/315/714/723/440/",723,171,1611.17078410311
"1:21","AN1","Dp2Yey","male","Striatum","STR","/997/8/567/623/477/",623,439,5665.9051896594
"1:22","AN1","Dp2Yey","male","Orbital area, lateral part, layer 6b","ORBl6b","/997/8/567/688/695/315/714/723/488/",723,35,1434.83786332144
"1:23","AN1","Dp2Yey","male","Infralimbic area, layer 2/3","ILA2/3","/997/8/567/688/695/315/9999/44/556/",44,76,3705.32884793525
"1:25","AN1","Dp2Yey","male","Anterior cingulate area, ventral part, layer 1","ACAv1","/997/8/567/688/695/315/9999/31/48/588/",48,24,7439.55362678239
"1:26","AN1","Dp2Yey","male","Taenia tecta","TT","/997/8/567/688/695/698/589/",698,509,5784.61678334394
"1:27","AN1","Dp2Yey","male","Orbital area, ventrolateral part, layer 6a","ORBvl6a","/997/8/567/688/695/315/714/746/608/",746,68,2320.89832417489
"1:29","AN1","Dp2Yey","male","Orbital area, lateral part, layer 5","ORBl5","/997/8/567/688/695/315/714/723/630/",723,103,2438.96663588359
"1:30","AN1","Dp2Yey","male","Primary motor area, Layer 5","MOp5","/997/8/567/688/695/315/500/985/648/",985,338,1970.62716083932
"1:31","AN1","Dp2Yey","male","Secondary motor area, layer 1","MOs1","/997/8/567/688/695/315/500/993/656/",993,527,5618.81610371887
"1:32","AN1","Dp2Yey","male","Primary somatosensory area, mouth, layer 2/3","SSp-m2/3","/997/8/567/688/695/315/453/322/345/657/",345,536,6211.25210035344
"1:33","AN1","Dp2Yey","male","lateral olfactory tract, body","lot","/997/1009/967/840/21/665/",21,92,4168.9323907921
"1:34","AN1","Dp2Yey","male","Caudoputamen","CP","/997/8/567/623/477/485/672/",485,138,2082.2959576298
