"","animal_number","genotype","sex","name","acronym","structure_id_path","parent_structure_id","cell_numbers","cell_density"
"1:1","AN1","WT","male","internal capsule","int","/997/1009/983/784/6/",784,191,614.592550880862
"1:2","AN1","WT","male","Basic cell groups and regions","grey","/997/8/",997,6,2083.33333333333
"1:3","AN1","WT","male","Primary somatosensory area, trunk, layer 6a","SSp-tr6a","/997/8/567/688/695/315/453/322/361/9/",361,11,244.12437027009
"1:7","AN1","WT","male","ventricular systems","VS","/997/73/",997,50,1676.95197209552
"1:8","AN1","WT","male","lateral ventricle","VL","/997/73/81/",73,151,1774.27883203102
"1:10","AN1","WT","male","Temporal association areas, layer 1","TEa1","/997/8/567/688/695/315/541/97/",541,27,878.849033266063
"1:11","AN1","WT","male","Periventricular hypothalamic nucleus, intermediate part","PVi","/997/8/343/1129/1097/157/118/",157,20,843.419221524058
"1:12","AN1","WT","male","Agranular insular area, posterior part, layer 1","AIp1","/997/8/567/688/695/315/95/111/120/",111,27,762.604151955939
"1:13","AN1","WT","male","optic tract","opt","/997/1009/967/848/125/",848,98,1112.82703488372
"1:14","AN1","WT","male","third ventricle","V3","/997/73/129/",73,77,767.406167155016
"1:15","AN1","WT","male","Lateral amygdala nucleus","LA","/997/8/567/688/703/131/",703,138,1312.4732512245
"1:16","AN1","WT","male","Paraventricular nucleus of the thalamus","PVT","/997/8/343/1129/549/856/571/149/",571,25,685.682940208448
"1:17","AN1","WT","male","Lateral dorsal nucleus of thalamus","LD","/997/8/343/1129/549/856/239/155/",239,26,128.954821174382
"1:18","AN1","WT","male","Dorsal auditory area, layer 6a","AUDd6a","/997/8/567/688/695/315/247/1011/156/",1011,102,3319.12401158439
"1:20","AN1","WT","male","Agranular insular area, posterior part, layer 2/3","AIp2/3","/997/8/567/688/695/315/95/111/163/",111,187,2441.22139397658
"1:21","AN1","WT","male","Dorsal part of the lateral geniculate complex","LGd","/997/8/343/1129/549/864/1008/170/",1008,9,100.144653388227
"1:22","AN1","WT","male","Retrochiasmatic cortex","RCH","/997/8/343/1129/1097/290/173/",290,12,317.032575097091
"1:23","AN1","WT","male","Ventral part of the lateral geniculate complex","LGv","/997/8/343/1129/549/856/1014/178/",1014,33,991.914394781929
"1:25","AN1","WT","male","Lateral habenula","LH","/997/8/343/1129/549/856/958/186/",958,44,746.218031341157
"1:26","AN1","WT","male","Lateral hypothalamic cortex","LHA","/997/8/343/1129/1097/290/194/",290,267,552.109181141439
"1:27","AN1","WT","male","Primary somatosensory area, barrel field, layer 2/3","SSp-bfd2/3","/997/8/567/688/695/315/453/322/329/201/",329,765,4512.90158924927
"1:29","AN1","WT","male","Lateral posterior nucleus of the thalamus","LP","/997/8/343/1129/549/856/138/218/",138,101,663.051612987934
"1:30","AN1","WT","male","Arcuate hypothalamic nucleus","ARH","/997/8/343/1129/1097/157/223/",157,40,836.610056052874
"1:31","AN1","WT","male","Temporal association areas, layer 4","TEa4","/997/8/567/688/695/315/541/234/",541,47,3222.7098189797
"1:32","AN1","WT","male","Primary auditory area, layer 2/3","AUDp2/3","/997/8/567/688/695/315/247/1002/251/",1002,59,3194.71518301928
"1:33","AN1","WT","male","Dorsal auditory area, layer 5","AUDd5","/997/8/567/688/695/315/247/1011/252/",1011,239,5011.63790391914
"1:34","AN1","WT","male","Nucleus of the lateral olfactory tract, molecular layer","NLOT1","/997/8/567/688/695/698/619/260/",619,11,901.417684176022
"1:35","AN1","WT","male","Reticular nucleus of the thalamus","RT","/997/8/343/1129/549/856/262/",856,361,2433.12282215288
"1:36","AN1","WT","male","Retrosplenial area, dorsal part, layer 6a","RSPd6a","/997/8/567/688/695/315/254/879/274/",879,129,2621.3118751524
"1:37","AN1","WT","male","Striatum-like amygdala nuclei","sAMY","/997/8/567/623/477/278/",477,13,405.552955857121
"1:39","AN1","WT","male","Anteromedial visual area, layer 1","VISam1","/997/8/567/688/695/315/669/394/281/",394,5,321.00667693888
"1:40","AN1","WT","male","Temporal association areas, layer 5","TEa5","/997/8/567/688/695/315/541/289/",541,134,2991.60564386498
"1:41","AN1","WT","male","Bed nucleus of the accessory olfactory tract","BA","/997/8/567/623/477/278/292/",278,6,281.597597033839
"1:42","AN1","WT","male","stria terminalis","st","/997/1009/991/768/301/",768,31,370.357095922488
"1:43","AN1","WT","male","Basolateral amygdala nucleus, anterior part","BLAa","/997/8/567/688/703/295/303/",295,190,1292.70167847107
"1:44","AN1","WT","male","Basolateral amygdala nucleus, posterior part","BLAp","/997/8/567/688/703/295/311/",295,172,2797.11181942367
"1:46","AN1","WT","male","Agranular insular area, posterior part, layer 6a","AIp6a","/997/8/567/688/695/315/95/111/314/",111,13,341.144671582649
"1:47","AN1","WT","male","Basomedial amygdala ","BMA","/997/8/567/688/703/319/",703,62,402.683691959965
"1:51","AN1","WT","male","Substantia innominata","SI","/997/8/567/623/803/835/342/",835,9,228.681776603313
