"","animal_number","genotype","sex","name","acronym","structure_id_path","parent_structure_id","cell_numbers","cell_density"
"1:1","AN1","WT","male","Basic cell groups and regions","grey","/997/8/",997,15,3857.03265620982
"1:2","AN1","WT","male","Gustatory areas, layer 1","GU1","/997/8/567/688/695/315/1057/36/",1057,28,2039.92423138569
"1:3","AN1","WT","male","Nucleus accumbens","ACB","/997/8/567/623/477/493/56/",493,1282,6519.59438155392
"1:5","AN1","WT","male","Prelimbic area, layer 6a","PL6a","/997/8/567/688/695/315/9999/972/84/",972,739,5340.83024976873
"1:6","AN1","WT","male","Prelimbic area, layer 6b","PL6b","/997/8/567/688/695/315/9999/972/132/",972,22,4172.19798975915
"1:7","AN1","WT","male","Gustatory areas, layer 4","GU4","/997/8/567/688/695/315/1057/148/",1057,45,5478.45142439737
"1:8","AN1","WT","male","Anterior olfactory nucleus","AON","/997/8/567/688/695/698/159/",698,1814,6115.56874115029
"1:9","AN1","WT","male","Prelimbic area, layer 1","PL1","/997/8/567/688/695/315/9999/972/171/",972,82,2567.55487365751
"1:10","AN1","WT","male","Gustatory areas, layer 2/3","GU2/3","/997/8/567/688/695/315/1057/180/",1057,160,5088.24932421689
"1:11","AN1","WT","male","Gustatory areas, layer 5","GU5","/997/8/567/688/695/315/1057/187/",1057,73,6111.8553248493
"1:12","AN1","WT","male","Anterior cingulate area, dorsal part, layer 2/3","ACAd2/3","/997/8/567/688/695/315/9999/31/39/211/",39,400,7100.25560920193
"1:13","AN1","WT","male","Lateral septal nucleus, rostral (rostroventral) part","LSr","/997/8/567/623/477/275/242/258/",242,456,6200.62278184958
"1:14","AN1","WT","male","Orbital area, ventrolateral part, layer 2/3","ORBvl2/3","/997/8/567/688/695/315/714/746/288/",746,34,5951.33905128654
"1:15","AN1","WT","male","Anterior cingulate area, ventral part, layer 2/3","ACAv2/3","/997/8/567/688/695/315/9999/31/48/296/",48,31,6345.95701125896
"1:16","AN1","WT","male","Prelimbic area, layer 2/3","PL2/3","/997/8/567/688/695/315/9999/972/304/",972,164,6780.22159748636
"1:17","AN1","WT","male","Primary motor area, Layer 1","MOp1","/997/8/567/688/695/315/500/985/320/",985,445,3044.65030993856
"1:18","AN1","WT","male","Agranular insular area, dorsal part, layer 2/3","AId2/3","/997/8/567/688/695/315/95/104/328/",104,786,5355.39082088739
"1:19","AN1","WT","male","Substantia innominata","SI","/997/8/567/623/803/835/342/",835,212,8057.16023107328
"1:20","AN1","WT","male","Prelimbic area, layer 5","PL5","/997/8/567/688/695/315/9999/972/363/",972,345,6839.13172762415
